active,confirmed,country,deaths,recovered
10,11,Curaçao,1,0
10,11,Libya,1,0
10,6,Libya,1,0
10,6,Libya,1,0
10,6,Libya,1,0
5,6,Libya,1,0
5,6,Cabo Verde,1,0
5,4,Cabo Verde,1,0
5,4,Cabo Verde,1,0
5,4,Cabo Verde,1,2
1,4,Cabo Verde,1,2
1,4,Gambia,1,2
1,493,Gambia,1,2
1,493,Gambia,1,2
1,493,Gambia,1,1
491,493,Gambia,1,1
491,493,Latvia,1,1
491,252,Latvia,1,1
491,252,Latvia,1,1
491,252,Latvia,1,57
194,252,Latvia,1,57
194,252,Oman,1,57
194,194,Oman,1,57
194,194,Oman,1,57
194,194,Oman,1,15
178,194,Oman,1,15
178,194,Ivory Coast,1,15
178,193,Ivory Coast,1,15
178,193,Ivory Coast,1,15
178,193,Ivory Coast,1,21
171,193,Ivory Coast,1,21
171,193,Palestine,1,21
171,134,Palestine,1,21
171,134,Palestine,1,21
171,134,Palestine,1,65
68,134,Palestine,1,65
68,134,Brunei ,1,65
68,116,Brunei ,1,65
68,116,Brunei ,1,65
68,116,Brunei ,1,10
105,116,Brunei ,1,10
105,116,Mayotte,1,10
105,114,Mayotte,1,10
105,114,Mayotte,1,10
105,114,Mayotte,1,0
113,114,Mayotte,1,0
113,114,Isle of Man,1,0
113,22,Isle of Man,1,0
113,22,Isle of Man,1,0
113,22,Isle of Man,1,2
19,22,Isle of Man,1,2
19,22,Saint Martin,1,2
19,24,Saint Martin,1,2
19,24,Saint Martin,1,2
19,24,Saint Martin,1,1
22,24,Saint Martin,1,1
22,24,Bahamas,1,1
22,20,Bahamas,1,1
22,20,Bahamas,1,1
22,20,Bahamas,1,3
16,20,Bahamas,1,3
16,20,Tanzania,1,3
16,18,Tanzania,1,3
16,18,Tanzania,0,3
16,18,Tanzania,0,1
17,18,Tanzania,0,1
17,18,Haiti,0,1
17,14,Haiti,0,1
17,14,Haiti,0,1
17,14,Haiti,0,2
12,14,Haiti,0,2
12,14,Mongolia,0,2
12,13,Mongolia,0,2
12,13,Mongolia,0,2
12,13,Mongolia,0,1
12,13,Mongolia,0,1
12,13,Benin,0,1
12,12,Benin,0,1
12,12,Benin,0,1
12,12,Benin,0,0
12,12,Benin,0,0
